fold,experiment,C,balanced_accuracy,macro_f1,negative_log_likelihood,code_C,face_C,alpha_face
1,fusion_raw,,0.4470584163898117,0.44766206753932164,1.0371244480615287,1.0,0.001,0.9
1,fusion_raw,,0.37196151716500553,0.37023809523809526,1.1275862249735153,1.0,0.001,1.0
1,fusion_raw,,0.6103197674418605,0.6079887657980966,0.7583386216261746,1.0,0.01,0.0
1,fusion_raw,,0.6397840531561462,0.638784774279527,0.763821724750895,1.0,0.01,0.1
1,fusion_raw,,0.5722106866002216,0.5698252921439315,0.7958281770072162,1.0,0.01,0.25
1,fusion_raw,,0.524563953488372,0.526019296607532,0.9224005534551529,1.0,0.01,0.5
1,fusion_raw,,0.44348698781838314,0.44840777502067825,1.1522858729971777,1.0,0.01,0.75
1,fusion_raw,,0.4255606312292359,0.4261849261849262,1.3405074323501525,1.0,0.01,0.9
1,fusion_raw,,0.3453765227021041,0.33476470638175043,1.4852494177821216,1.0,0.01,1.0
1,fusion_raw,,0.6103197674418605,0.6079887657980966,0.7583386216261746,1.0,0.1,0.0
1,fusion_raw,,0.6043535437430786,0.5960977844411127,0.7859275002441721,1.0,0.1,0.1
1,fusion_raw,,0.5305440199335548,0.5295748950921365,0.8995664704340817,1.0,0.1,0.25
1,fusion_raw,,0.46165559246954596,0.4672416191403534,1.262599481709245,1.0,0.1,0.5
1,fusion_raw,,0.4073920265780731,0.4091133816743573,1.7944830073453049,1.0,0.1,0.75
1,fusion_raw,,0.3582156699889258,0.35336565507788925,2.16955455338623,1.0,0.1,0.9
1,fusion_raw,,0.34271179401993357,0.3345238095238095,2.436438856248999,1.0,0.1,1.0
1,fusion_raw,,0.6103197674418605,0.6079887657980966,0.7583386216261746,1.0,1.0,0.0
1,fusion_raw,,0.5496054817275747,0.5466243315508023,0.8212712825839782,1.0,1.0,0.1
1,fusion_raw,,0.524563953488372,0.5257443374991513,1.0688688606066088,1.0,1.0,0.25
1,fusion_raw,,0.44106450719822815,0.4452334540053838,1.7683348588354055,1.0,1.0,0.5
1,fusion_raw,,0.3659676079734219,0.3625391560714944,2.6703936435635103,1.0,1.0,0.75
1,fusion_raw,,0.3582156699889258,0.35336565507788925,3.2624520174299674,1.0,1.0,0.9
1,fusion_raw,,0.35046373200442965,0.34402269764588606,3.6699626839375608,1.0,1.0,1.0
1,fusion_raw,,0.6103197674418605,0.6079887657980966,0.7583386216261746,1.0,10.0,0.0
1,fusion_raw,,0.550484496124031,0.550484496124031,0.8712916398726718,1.0,10.0,0.1
1,fusion_raw,,0.47982419712070873,0.4846960792372185,1.3052738027873672,1.0,10.0,0.25
1,fusion_raw,,0.39964008859357697,0.4002792841416296,2.4152020301784813,1.0,10.0,0.5
1,fusion_raw,,0.3477990033222591,0.3435194347739147,3.728931704790012,1.0,10.0,0.75
1,fusion_raw,,0.34004706533776297,0.33436086189709374,4.558644535776102,1.0,10.0,0.9
