fold,experiment,rank_by_training_f_score,summary_feature_index,training_f_score,node,source_feature,statistic,feature_family
1,video_trial_delta,12,820,3.5030853748321533,brow_left_inner,velocity_area,absolute_quantile_90,absolute_motion
1,video_trial_delta,13,50,3.412339448928833,brow_left_inner,velocity_aspect,quantile_10,temporal
1,video_trial_delta,14,86,3.3810155391693115,brow_left_outer,velocity_x,quantile_10,temporal
1,video_trial_delta,15,923,3.3490610122680664,eye_right_lower,velocity_x,absolute_std,absolute_motion
1,video_trial_delta,16,411,3.3169710636138916,eye_right_lower,velocity_x,quantile_90,temporal
1,video_trial_delta,17,422,3.2213687896728516,eye_right_lower,velocity_area,quantile_10,temporal
1,video_trial_delta,18,44,3.1427602767944336,brow_left_inner,velocity_area,quantile_10,temporal
1,video_trial_delta,19,31,3.1386871337890625,brow_left_inner,velocity_x,std,temporal
1,video_trial_delta,20,932,3.1384921073913574,eye_right_lower,velocity_area,absolute_quantile_90,absolute_motion
1,video_trial_delta,21,40,3.0985686779022217,brow_left_inner,velocity_y,late_minus_early,temporal
1,video_trial_delta,22,810,3.062565803527832,brow_left_inner,velocity_x,absolute_mean,absolute_motion
1,video_trial_delta,23,104,3.0573770999908447,brow_left_outer,velocity_aspect,quantile_10,temporal
1,video_trial_delta,24,303,3.0371291637420654,eye_left_lower,velocity_x,quantile_90,temporal
1,video_trial_delta,25,190,2.968616247177124,brow_right_outer,aspect,late_minus_early,temporal
1,video_trial_delta,26,818,2.9477736949920654,brow_left_inner,velocity_area,absolute_mean,absolute_motion
1,video_trial_delta,27,616,2.9224748611450195,upper_lip,area,late_minus_early,temporal
1,video_trial_delta,28,812,2.8522350788116455,brow_left_inner,velocity_x,absolute_quantile_90,absolute_motion
1,video_trial_delta,29,132,2.8414440155029297,brow_right_inner,aspect,mean,temporal
1,video_trial_delta,30,130,2.8357882499694824,brow_right_inner,area,late_minus_early,temporal
1,video_trial_delta,31,423,2.8212528228759766,eye_right_lower,velocity_area,quantile_90,temporal
1,video_trial_delta,32,811,2.809804677963257,brow_left_inner,velocity_x,absolute_std,absolute_motion
1,video_water_delta,1,170,5.327407360076904,brow_right_outer,cy,quantile_10,temporal
1,video_water_delta,2,127,4.645551681518555,brow_right_inner,area,std,temporal
1,video_water_delta,3,38,4.49099588394165,brow_left_inner,velocity_y,quantile_10,temporal
1,video_water_delta,4,326,4.455556392669678,eye_right_upper,cx,quantile_10,temporal
1,video_water_delta,5,814,4.246402740478516,brow_left_inner,velocity_y,absolute_mean,absolute_motion
1,video_water_delta,6,169,3.977277994155884,brow_right_outer,cy,std,temporal
1,video_water_delta,7,811,3.7610504627227783,brow_left_inner,velocity_x,absolute_std,absolute_motion
1,video_water_delta,8,39,3.758169174194336,brow_left_inner,velocity_y,quantile_90,temporal
1,video_water_delta,9,129,3.7053630352020264,brow_right_inner,area,quantile_90,temporal
1,video_water_delta,10,115,3.6122031211853027,brow_right_inner,cy,std,temporal
