fold,experiment,k_features,C,balanced_accuracy,macro_f1,negative_log_likelihood
4,video_water_delta,64,0.01,0.3833234830575256,0.38276143790849676,1.1191768091266323
4,video_water_delta,64,0.1,0.43122044917257685,0.4304358260847004,1.321685413473149
4,video_water_delta,64,1.0,0.3947498029944838,0.39667671494743034,2.3924932702208563
5,video_raw,16,0.01,0.336353671903544,0.3339976870647868,1.1393481762208462
5,video_raw,16,0.1,0.36748264523200586,0.3649853061617767,1.3056846050944668
5,video_raw,16,1.0,0.3652052125197905,0.3631842138398719,1.6375122492674712
5,video_raw,32,0.01,0.29244915357447326,0.29215753035977754,1.1795844733205132
5,video_raw,32,0.1,0.3487151382292047,0.3437819011589503,1.45183610079656
5,video_raw,32,1.0,0.27567896723906954,0.27464387464387463,2.081674315971908
5,video_raw,64,0.01,0.36292777980757523,0.36036556036556044,1.2205046398731347
5,video_raw,64,0.1,0.3383509925709414,0.3383515829019104,1.578768982246831
5,video_raw,64,1.0,0.3016928510534649,0.3024614100959533,2.6954542088166495
5,video_trial_delta,16,0.01,0.3066739739374011,0.29585465864535637,1.1607321724819306
5,video_trial_delta,16,0.1,0.311362805991962,0.3078617632626519,1.3526653210463973
5,video_trial_delta,16,1.0,0.2785166240409207,0.27366346820756143,1.6558530709091706
5,video_trial_delta,32,0.01,0.2680185117525271,0.2621082621082621,1.1929884303039493
5,video_trial_delta,32,0.1,0.3284131043721837,0.3260349834537719,1.5223826194888859
5,video_trial_delta,32,1.0,0.3186091828035562,0.31608005521049004,2.2213286085271493
5,video_trial_delta,64,0.01,0.316051638046523,0.31389618800751107,1.2446911277092285
5,video_trial_delta,64,0.1,0.36976007794422117,0.36702741702741704,1.6642392996163144
5,video_trial_delta,64,1.0,0.33338204847156255,0.3329207191276157,2.672425728567856
5,video_water_delta,16,0.01,0.2678723663378395,0.2677878871427259,1.1782438872421461
5,video_water_delta,16,0.1,0.34303982462550237,0.34520558057134415,1.3795573345798546
5,video_water_delta,16,1.0,0.3630617464377055,0.36657756657756657,1.7209935941980554
5,video_water_delta,32,0.01,0.2641578370478626,0.2628266828002823,1.196961735441183
5,video_water_delta,32,0.1,0.3008159785653392,0.295607021413473,1.5050935957166611
5,video_water_delta,32,1.0,0.31191085129704055,0.31104892205638474,2.3258473778430027
5,video_water_delta,64,0.01,0.31289733284618193,0.30483539791060266,1.2518733905145878
5,video_water_delta,64,0.1,0.2718182925344051,0.25459781721695984,1.8646707002376182
5,video_water_delta,64,1.0,0.2909998782121544,0.26992373834047334,3.9124204435199466
