fold,window,window_start_seconds,window_end_seconds,k_features,selection_strategy,C,balanced_accuracy,macro_f1,negative_log_likelihood
2,6:8,6.0,8.0,0,all_after_variance,0.1,0.39370089499214317,0.39088656954021445,2.2504791946157163
2,6:8,6.0,8.0,0,all_after_variance,1.0,0.39342078294732524,0.3922704386414064,3.4281989631225187
2,6:8,6.0,8.0,8,kbest,0.01,0.2821548131447701,0.276820987654321,1.1314894824266435
2,6:8,6.0,8.0,8,kbest,0.1,0.2880508300881328,0.287734181689643,1.3167927097034715
2,6:8,6.0,8.0,8,kbest,1.0,0.3135546901687504,0.313304390268965,1.5836881917376835
2,6:8,6.0,8.0,16,kbest,0.01,0.3160688665710187,0.31098039215686274,1.152626995584456
2,6:8,6.0,8.0,16,kbest,0.1,0.36062034569925533,0.36095602992154713,1.395218975587931
2,6:8,6.0,8.0,16,kbest,1.0,0.32838013254082116,0.3277161701819236,1.8116474975625458
2,6:8,6.0,8.0,32,kbest,0.01,0.2807610849217736,0.27424582266517133,1.1994246367755412
2,6:8,6.0,8.0,32,kbest,0.1,0.3516567602650816,0.3481058512924418,1.5749693391345967
2,6:8,6.0,8.0,32,kbest,1.0,0.3516567602650816,0.3481481481481481,2.4893303434179415
2,6:8,6.0,8.0,64,kbest,0.01,0.33567670970827357,0.32832205138969056,1.2259281165088343
2,6:8,6.0,8.0,64,kbest,0.1,0.37716062034569925,0.3765211724538513,1.7403402140518425
2,6:8,6.0,8.0,64,kbest,1.0,0.35894650543144085,0.3604638072723179,3.232031862127787
2,8:10,8.0,10.0,0,all_after_variance,0.01,0.3241989478718317,0.31948416035884497,1.507042412237273
2,8:10,8.0,10.0,0,all_after_variance,0.1,0.3130012980802077,0.30768125650172834,2.4822519693601452
2,8:10,8.0,10.0,0,all_after_variance,1.0,0.3211313793810207,0.31576110895193676,3.8064714022553723
2,8:10,8.0,10.0,8,kbest,0.01,0.33116758898681425,0.32733071099268285,1.2064060941465677
2,8:10,8.0,10.0,8,kbest,0.1,0.3516089362574298,0.34357100633930576,1.3622016333354512
2,8:10,8.0,10.0,8,kbest,1.0,0.33478854956616794,0.3201465201465202,1.4207725649977656
2,8:10,8.0,10.0,16,kbest,0.01,0.38719682995149274,0.3810244046863765,1.2422332240767797
2,8:10,8.0,10.0,16,kbest,0.1,0.3496549839447974,0.3431531421349803,1.3819765546678124
2,8:10,8.0,10.0,16,kbest,1.0,0.3303272528523605,0.324923512138124,1.5164978248174876
2,8:10,8.0,10.0,32,kbest,0.01,0.3395777823324451,0.3357400294020012,1.2826403101664845
2,8:10,8.0,10.0,32,kbest,0.1,0.3216437794630047,0.31794103963118053,1.4422470612917044
2,8:10,8.0,10.0,32,kbest,1.0,0.35583794493407117,0.3540570175438596,1.902808412457371
2,8:10,8.0,10.0,64,kbest,0.01,0.3477078636332582,0.3456399509302801,1.213451274570305
2,8:10,8.0,10.0,64,kbest,0.1,0.30905240144838425,0.30800281792985,1.539413928160049
2,8:10,8.0,10.0,64,kbest,1.0,0.29980870396939263,0.294579945799458,2.771464931594129
2,0:10,0.0,10.0,0,all_after_variance,0.01,0.3404591104734577,0.3367177423515452,1.408085940420238
2,0:10,0.0,10.0,0,all_after_variance,0.1,0.32280521964883513,0.31776764592617046,2.3274461274088645
2,0:10,0.0,10.0,0,all_after_variance,1.0,0.31973765115802416,0.31152067154448615,3.650376385407446
2,0:10,0.0,10.0,8,kbest,0.01,0.2544168887067022,0.2513100346591847,1.1400911356721146
2,0:10,0.0,10.0,8,kbest,0.1,0.27374461979913917,0.27124907612712496,1.3010779815427385
2,0:10,0.0,10.0,8,kbest,1.0,0.26450092232014755,0.2585572322414427,1.4299035633166965
2,0:10,0.0,10.0,16,kbest,0.01,0.3025961604153857,0.29882542176336363,1.1597410264130226
2,0:10,0.0,10.0,16,kbest,0.1,0.3012024321923891,0.29701908129622984,1.3482866927673332
2,0:10,0.0,10.0,16,kbest,1.0,0.28326842932294866,0.2803017516941568,1.6205480411004944
2,0:10,0.0,10.0,32,kbest,0.01,0.2754184600669536,0.2698412698412698,1.1947905341147813
