fold,window,rank_by_training_f_score,summary_feature_index,node,source_feature,statistic,training_f_score
2,0:2,545,220,lid_cheek_gap_R,value,late_minus_early,0.2726549208164215
2,0:2,546,450,corner_horizontal_R,acceleration,mean,0.26790547370910645
2,0:2,547,556,corner_vertical_L,velocity,late_minus_early,0.26761338114738464
2,0:2,548,230,lid_cheek_gap_R,velocity,quantile_10,0.2656642198562622
2,0:2,549,86,outer_brow_R,velocity,quantile_10,0.2600014805793762
2,0:2,550,261,lid_cheek_gap_L,delta,quantile_90,0.25835099816322327
2,0:2,551,182,eye_open_L,value,quantile_10,0.25724899768829346
2,0:2,552,88,outer_brow_R,velocity,late_minus_early,0.24894936382770538
2,0:2,553,496,corner_horizontal_L,abs_velocity,late_minus_early,0.24644774198532104
2,0:2,554,140,outer_brow_L,baseline_robust_z,quantile_10,0.24551118910312653
2,0:2,555,663,lowerlip_chin_gap,velocity,quantile_90,0.24208612740039825
2,0:2,556,610,inner_lip_aperture,baseline_robust_z,late_minus_early,0.24083338677883148
2,0:2,557,28,inner_brow_R,abs_velocity,late_minus_early,0.23850694298744202
2,0:2,558,687,jaw_open,value,quantile_90,0.23401568830013275
2,0:2,559,502,corner_horizontal_L,baseline_robust_z,late_minus_early,0.23235683143138885
2,0:2,560,167,eye_open_R,acceleration,slope_per_second,0.23185670375823975
2,0:2,561,597,inner_lip_aperture,acceleration,quantile_90,0.2291283905506134
2,0:2,562,647,outer_mouth_open,baseline_robust_z,slope_per_second,0.22727422416210175
2,0:2,563,708,jaw_open,abs_velocity,mean,0.22619777917861938
2,0:2,564,131,outer_brow_L,acceleration,slope_per_second,0.22375117242336273
2,0:2,565,710,jaw_open,abs_velocity,quantile_10,0.22178137302398682
2,0:2,566,595,inner_lip_aperture,acceleration,std,0.2212604135274887
2,0:2,567,645,outer_mouth_open,baseline_robust_z,quantile_90,0.21949099004268646
2,0:2,568,129,outer_brow_L,acceleration,quantile_90,0.21823948621749878
2,0:2,569,156,eye_open_R,velocity,mean,0.21558624505996704
2,0:2,570,279,lid_cheek_gap_L,abs_velocity,quantile_90,0.21517273783683777
2,0:2,571,231,lid_cheek_gap_R,velocity,quantile_90,0.21477356553077698
2,0:2,572,341,alar_extent_L,velocity,slope_per_second,0.21434764564037323
2,0:2,573,626,outer_mouth_open,velocity,quantile_10,0.21412760019302368
2,0:2,574,125,outer_brow_L,velocity,slope_per_second,0.2136533111333847
2,0:2,575,244,lid_cheek_gap_R,abs_velocity,late_minus_early,0.21305930614471436
2,0:2,576,522,corner_vertical_R,acceleration,mean,0.21113808453083038
2,0:2,577,697,jaw_open,velocity,std,0.2091442495584488
2,0:2,578,253,lid_cheek_gap_L,value,std,0.20557323098182678
2,0:2,579,259,lid_cheek_gap_L,delta,std,0.205573171377182
2,0:2,580,292,alar_extent_R,value,late_minus_early,0.20360568165779114
2,0:2,581,298,alar_extent_R,delta,late_minus_early,0.20360559225082397
2,0:2,582,449,corner_horizontal_R,velocity,slope_per_second,0.20064203441143036
2,0:2,583,223,lid_cheek_gap_R,delta,std,0.19908766448497772
2,0:2,584,217,lid_cheek_gap_R,value,std,0.19908757507801056
2,0:2,585,712,jaw_open,abs_velocity,late_minus_early,0.19840800762176514
2,0:2,586,497,corner_horizontal_L,abs_velocity,slope_per_second,0.19760093092918396
2,0:2,587,704,jaw_open,acceleration,quantile_10,0.19752183556556702
2,0:2,588,161,eye_open_R,velocity,slope_per_second,0.19402746856212616
2,0:2,589,216,lid_cheek_gap_R,value,mean,0.1920846849679947
2,0:2,590,613,outer_mouth_open,value,std,0.19101035594940186
2,0:2,591,619,outer_mouth_open,delta,std,0.19101031124591827
2,0:2,592,271,lid_cheek_gap_L,acceleration,std,0.18886159360408783
2,0:2,593,526,corner_vertical_R,acceleration,late_minus_early,0.18856818974018097
2,0:2,594,154,eye_open_R,delta,late_minus_early,0.1881258487701416
2,0:2,595,148,eye_open_R,value,late_minus_early,0.18812578916549683
2,0:2,596,322,alar_extent_R,baseline_robust_z,late_minus_early,0.1845177412033081
2,0:2,597,714,jaw_open,baseline_robust_z,mean,0.18329036235809326
2,0:2,598,100,outer_brow_R,abs_velocity,late_minus_early,0.18179519474506378
2,0:2,599,227,lid_cheek_gap_R,delta,slope_per_second,0.18096758425235748
2,0:2,600,221,lid_cheek_gap_R,value,slope_per_second,0.1809675544500351
2,0:2,601,609,inner_lip_aperture,baseline_robust_z,quantile_90,0.1787380427122116
2,0:2,602,297,alar_extent_R,delta,quantile_90,0.17554736137390137
2,0:2,603,197,eye_open_L,velocity,slope_per_second,0.17504669725894928
2,0:2,604,637,outer_mouth_open,abs_velocity,std,0.1721535474061966
2,0:2,605,282,lid_cheek_gap_L,baseline_robust_z,mean,0.17162948846817017
2,0:2,606,353,alar_extent_L,abs_velocity,slope_per_second,0.1711476743221283
2,0:2,607,692,jaw_open,delta,quantile_10,0.17097359895706177
2,0:2,608,651,lowerlip_chin_gap,value,quantile_90,0.16994233429431915
2,0:2,609,404,nose_upperlip_L,delta,quantile_10,0.16704747080802917
2,0:2,610,265,lid_cheek_gap_L,velocity,std,0.16540788114070892
2,0:2,611,256,lid_cheek_gap_L,value,late_minus_early,0.1650017946958542
2,0:2,612,262,lid_cheek_gap_L,delta,late_minus_early,0.16500169038772583
2,0:2,613,698,jaw_open,velocity,quantile_10,0.1646227091550827
2,0:2,614,520,corner_vertical_R,velocity,late_minus_early,0.15997397899627686
2,0:2,615,362,nose_upperlip_R,value,quantile_10,0.15616579353809357
2,0:2,616,382,nose_upperlip_R,acceleration,late_minus_early,0.15567699074745178
2,0:2,617,351,alar_extent_L,abs_velocity,quantile_90,0.15250642597675323
2,0:2,618,621,outer_mouth_open,delta,quantile_90,0.1475430130958557
2,0:2,619,104,outer_brow_R,baseline_robust_z,quantile_10,0.14635001122951508
2,0:2,620,590,inner_lip_aperture,velocity,quantile_10,0.14506135880947113
2,0:2,621,611,inner_lip_aperture,baseline_robust_z,slope_per_second,0.14374570548534393
2,0:2,622,181,eye_open_L,value,std,0.1394015997648239
2,0:2,623,187,eye_open_L,delta,std,0.13940156996250153
2,0:2,624,376,nose_upperlip_R,velocity,late_minus_early,0.13806818425655365
2,0:2,625,569,corner_vertical_L,abs_velocity,slope_per_second,0.13760247826576233
2,0:2,626,388,nose_upperlip_R,abs_velocity,late_minus_early,0.137464702129364
2,0:2,627,160,eye_open_R,velocity,late_minus_early,0.1373489499092102
2,0:2,628,508,corner_vertical_R,value,late_minus_early,0.13483864068984985
2,0:2,629,514,corner_vertical_R,delta,late_minus_early,0.13483862578868866
2,0:2,630,2,inner_brow_R,value,quantile_10,0.1331743597984314
2,0:2,631,58,inner_brow_L,acceleration,late_minus_early,0.13305410742759705
2,0:2,632,326,alar_extent_L,value,quantile_10,0.1278773695230484
2,0:2,633,412,nose_upperlip_L,velocity,late_minus_early,0.12156863510608673
