subject,ma_mau,substance,intensity,roi,band,abs_power,rel_power
P020,S2_5,Sucralose,5,Occipital,delta,1.116732958835742e-09,0.4544734561743349
P020,S2_5,Sucralose,5,Occipital,gamma,8.077415781204706e-10,0.206997474118702
P020,S2_5,Sucralose,5,Occipital,theta,5.566531949415838e-10,0.13584951301171155
P020,S2_5,Sucralose,5,Parietal,alpha,2.954106694949286e-10,0.07475588825528036
P020,S2_5,Sucralose,5,Parietal,beta,6.313881810002215e-10,0.1681870973706619
P020,S2_5,Sucralose,5,Parietal,delta,8.551726409656521e-10,0.41784912833321214
P020,S2_5,Sucralose,5,Parietal,gamma,8.377325511503797e-10,0.23545991401417748
P020,S2_5,Sucralose,5,Parietal,theta,3.397569675838109e-10,0.10374797202666815
P020,S2_5,Sucralose,5,Temporal,alpha,2.670772172546587e-10,0.06724959616766628
P020,S2_5,Sucralose,5,Temporal,beta,6.473228130600264e-10,0.17794928340517477
P020,S2_5,Sucralose,5,Temporal,delta,9.184794524008315e-10,0.3905623375881589
P020,S2_5,Sucralose,5,Temporal,gamma,8.210210459536339e-10,0.22824400788454283
P020,S2_5,Sucralose,5,Temporal,theta,4.664816707510132e-10,0.13599477495445728
P020,S2_7,Sucralose,7,Central,alpha,1.771848982322752e-10,0.07930837813646557
P020,S2_7,Sucralose,7,Central,beta,3.590735929859717e-10,0.17947231242514178
P020,S2_7,Sucralose,7,Central,delta,8.648649084178583e-10,0.4530143422375227
P020,S2_7,Sucralose,7,Central,gamma,4.0298851798704936e-10,0.18737372950607087
P020,S2_7,Sucralose,7,Central,theta,1.9482669166048803e-10,0.10083123769479896
P020,S2_7,Sucralose,7,Frontal,alpha,1.172190340332902e-10,0.07664230565568798
P020,S2_7,Sucralose,7,Frontal,beta,2.5163594225066413e-10,0.1733116814115121
P020,S2_7,Sucralose,7,Frontal,delta,6.96487620257292e-10,0.4686971263600735
P020,S2_7,Sucralose,7,Frontal,gamma,2.545815373622349e-10,0.17626930460079582
P020,S2_7,Sucralose,7,Frontal,theta,1.595743200477601e-10,0.10507958197193053
P020,S2_7,Sucralose,7,Gustatory,alpha,1.4382133647187459e-10,0.0706904842129576
P020,S2_7,Sucralose,7,Gustatory,beta,3.3654186418460975e-10,0.17766988452185623
P020,S2_7,Sucralose,7,Gustatory,delta,8.498321629143391e-10,0.4550280370851426
P020,S2_7,Sucralose,7,Gustatory,gamma,3.711197395966054e-10,0.1843491593052089
P020,S2_7,Sucralose,7,Gustatory,theta,2.1056614117149638e-10,0.1122624348748345
P020,S2_7,Sucralose,7,Occipital,alpha,1.3736694706376458e-10,0.07042036330440951
P020,S2_7,Sucralose,7,Occipital,beta,3.542735572235373e-10,0.17697151383647391
P020,S2_7,Sucralose,7,Occipital,delta,8.677915558714685e-10,0.4435033957986599
P020,S2_7,Sucralose,7,Occipital,gamma,4.3496296585266666e-10,0.19910415949278912
