subject_id,condition,condition_label,P1_mean_amp,P1_peak_amp,P1_peak_lat,N1_mean_amp,N1_peak_amp,N1_peak_lat,P2_mean_amp,P2_peak_amp,P2_peak_lat,N400_mean_amp,N400_peak_amp,N400_peak_lat,jar_group
P011,762,MedHigh/762,-2.719704372517689e-06,5.364065168578236e-06,0.11,1.1420938773715698e-05,-3.4049709597638863e-06,0.14,3.2740258347985223e-06,2.4670512456737014e-05,0.29,-1.4155416590733519e-06,-1.8971366775607144e-05,0.43,Khong_du
P011,893,High/893,7.318813250175746e-07,1.751938100227335e-05,0.13,5.003549057319196e-06,-7.469872457477323e-06,0.23,5.001083677805914e-06,3.3656311279628434e-05,0.23,-1.1386709457078093e-06,-1.5238889303266964e-05,0.5,Khong_du
P013,605,Water/605,3.2933991162410947e-06,1.2990177120286715e-05,0.15,8.42117424462365e-06,-7.883064225211457e-06,0.15,1.1672401934521742e-05,2.9885715684940804e-05,0.27,8.265970204840346e-06,-7.313867627090107e-08,0.54,Khong_du
P013,258,Low/258,3.951883967877126e-06,2.0165103505398464e-05,0.12,3.36825682432299e-07,-6.200810480549988e-06,0.14,-8.295608826686546e-06,1.532659059648722e-05,0.31,2.54175939047519e-06,-8.159400492028605e-06,0.4,Khong_du
P013,453,MedLow/453,-1.8455939206367993e-06,1.4333654320353162e-05,0.12,2.6764666819369754e-06,-1.5780187527525414e-05,0.16,-6.126623885139592e-06,5.0670866642121835e-06,0.28,-4.9375222776430996e-06,-1.698072297813269e-05,0.41,Vua_phai
P013,189,Medium/189,3.878128757150989e-06,1.1890394759461744e-05,0.15,-4.649848414148031e-06,-2.7991227167944998e-05,0.15,4.4815091033506995e-06,1.8074173249260637e-05,0.33,8.696187378878299e-06,-7.965434519974226e-07,0.53,Qua_nhieu
P013,762,MedHigh/762,-1.1937062647047827e-05,-2.914435978595975e-06,0.12,1.1628776692808948e-05,-3.4476499514823898e-06,0.24,-3.8064481390329347e-06,1.5290781452392824e-05,0.29,-8.634718653544567e-06,-2.3137515044406123e-05,0.35,Qua_nhieu
P013,893,High/893,1.7440321932277974e-05,3.616993603827723e-05,0.14,2.5183942639486e-05,-3.548339918779675e-06,0.23,2.9913259910384884e-05,5.4333616134272233e-05,0.29,1.739451102139137e-05,-8.675489407972137e-07,0.48,Qua_nhieu
P014,605,Water/605,-9.776161577893356e-06,5.375996806833424e-07,0.09,-1.049714135025294e-06,-1.2707907492881533e-05,0.2,9.218984559512278e-06,2.8161696491224575e-05,0.26,2.213643600022066e-07,-1.5410637316411643e-05,0.44,Khong_du
P014,258,Low/258,1.9717478264474103e-05,2.346490691707004e-05,0.13,1.3397741642765222e-05,4.237065377310501e-06,0.14,-7.91764099480254e-07,1.5502563501001986e-05,0.35,4.9927648932354806e-06,-2.358448095189184e-06,0.5,Khong_du
P014,453,MedLow/453,-3.312241509258383e-06,8.880478048922669e-06,0.15,4.5384339163557674e-07,-1.6108114564872267e-05,0.18,4.1505523850430356e-05,6.028057737239578e-05,0.28,1.6119126775218696e-05,-5.88148850511061e-07,0.53,Khong_du
P014,189,Medium/189,2.3154297249508965e-05,3.883620045712633e-05,0.13,5.117226140621317e-06,-1.2172660819942394e-05,0.14,2.00107915247827e-05,4.0667568907792886e-05,0.3,1.5340365150750574e-05,-9.125649155450334e-06,0.38,Vua_phai
P014,762,MedHigh/762,-1.526617520022049e-05,-7.0057217442354165e-06,0.1,-3.1211742865557637e-06,-1.1342275476522445e-05,0.23,6.2212987106573355e-06,1.4984528368700012e-05,0.23,1.5804232906947023e-06,-8.479760440612458e-06,0.42,Vua_phai
P014,893,High/893,8.028653138504822e-08,7.641466606855828e-06,0.15,5.63872100268658e-07,-1.9261757404365203e-05,0.24,-1.4421497962047176e-06,2.4748600102952876e-05,0.31,-8.686860248402926e-06,-2.4911195485799453e-05,0.39,Qua_nhieu
P015,605,Water/605,5.786991688897352e-07,5.7878133759459145e-06,0.1,-1.565661295899191e-06,-7.5675880282233265e-06,0.23,1.5105121358024359e-06,1.1678466159992239e-05,0.27,-3.890623398008745e-06,-1.1730681671906496e-05,0.46,Khong_du
P015,258,Low/258,-1.221375556918401e-05,1.291503929223836e-06,0.1,6.676808983676415e-06,-1.1965607200181707e-06,0.14,-5.254862538050221e-06,7.601453012284764e-06,0.31,-5.657618311261103e-06,-2.01520099381014e-05,0.53,Khong_du
P015,453,MedLow/453,8.994288757386519e-06,1.8345006219533387e-05,0.13,4.218481694160595e-06,-8.260648723990017e-06,0.18,-1.0899575281168971e-06,6.307458284027236e-06,0.29,6.3050274499958165e-06,1.4086921358587757e-06,0.44,Khong_du
P015,189,Medium/189,3.7392660686919045e-06,1.5980576677065983e-05,0.09,-6.092562742439483e-06,-1.8339219059271274e-05,0.21,-2.134625724728231e-06,1.0799336178024532e-05,0.34,9.870741263054297e-06,-5.521850166549194e-06,0.38,Vua_phai
