subject_id,trial_ix,condition,repeat,trigger_sample,offset_rms,offset_woody,offset_final,new_onset,offset_sec
P014,28,893,4,268900,177,114,190,269090,1.9
P014,29,893,5,277600,115,145,129,277729,1.29
P015,0,189,1,5700,0,77,0,5700,0.0
P015,1,189,2,15500,54,1,54,15554,0.54
P015,2,189,3,32300,31,0,31,32331,0.31
P015,3,189,4,40200,38,0,55,40255,0.55
P015,4,189,5,47800,38,162,38,47838,0.38
P015,5,762,1,60100,92,0,101,60201,1.01
P015,6,762,2,69500,0,1,0,69500,0.0
P015,7,762,3,78900,167,196,167,79067,1.67
P015,8,762,4,92000,92,35,92,92092,0.92
P015,9,762,5,102300,0,142,87,102387,0.87
P015,10,453,1,121500,0,43,43,121543,0.43
P015,11,453,2,130900,0,0,0,130900,0.0
P015,12,453,3,139200,36,46,36,139236,0.36
P015,13,453,4,146900,0,168,0,146900,0.0
P015,14,453,5,157500,0,55,53,157553,0.53
P015,15,893,1,168900,0,165,56,168956,0.56
P015,16,893,2,181200,0,98,52,181252,0.52
P015,17,893,3,191400,189,197,189,191589,1.89
P015,18,893,4,204900,0,34,0,204900,0.0
P015,19,893,5,213900,38,77,81,213981,0.81
P015,20,258,1,229400,0,93,99,229499,0.99
P015,21,258,2,242000,0,182,0,242000,0.0
P015,22,258,3,253000,153,0,153,253153,1.53
P015,23,258,4,263700,83,158,182,263882,1.82
P015,24,258,5,274400,0,120,98,274498,0.98
P015,25,605,1,288400,84,0,168,288568,1.68
P015,26,605,2,291500,0,0,0,291500,0.0
P015,27,605,3,305500,0,77,71,305571,0.71
P015,28,605,4,316000,0,106,74,316074,0.74
P015,29,605,5,325000,88,10,88,325088,0.88
P016,0,762,1,2800,128,60,128,2928,1.28
P016,1,762,2,13000,44,153,44,13044,0.44
P016,2,762,3,20700,0,28,72,20772,0.72
P016,3,762,4,28200,130,0,170,28370,1.7
P016,4,762,5,36200,0,0,46,36246,0.46
P016,5,893,1,44300,0,0,15,44315,0.15
P016,6,893,2,47000,0,129,0,47000,0.0
P016,7,893,3,63900,65,36,65,63965,0.65
P016,8,893,4,75200,48,138,147,75347,1.47
P016,9,893,5,83600,0,67,84,83684,0.84
P016,10,189,1,96000,0,195,45,96045,0.45
P016,11,189,2,108100,148,12,178,108278,1.78
P016,12,189,3,116800,95,0,95,116895,0.95
P016,13,189,4,124100,0,28,28,124128,0.28
P016,14,189,5,132000,34,147,34,132034,0.34
P016,15,605,1,145000,0,0,60,145060,0.6
P016,16,605,2,158500,61,52,61,158561,0.61
P016,17,605,3,171100,131,5,217,171317,2.17
P016,18,258,1,175700,114,170,210,175910,2.1
P016,19,605,4,178500,0,0,19,178519,0.19
P016,20,605,5,190000,0,111,0,190000,0.0
P016,21,453,1,204500,45,34,45,204545,0.45
P016,22,453,2,218200,0,17,0,218200,0.0
P016,23,453,3,230800,45,130,45,230845,0.45
P016,24,453,4,243400,30,0,30,243430,0.3
P016,25,453,5,251500,0,36,0,251500,0.0
P016,26,258,2,263800,183,114,212,264012,2.12
P016,27,258,3,275000,130,92,170,275170,1.7
P016,28,258,4,283200,0,0,38,283238,0.38
P016,29,258,5,290600,151,123,151,290751,1.51
P017,0,893,1,6300,74,179,74,6374,0.74
P017,1,893,2,23400,86,137,185,23585,1.85
P017,2,893,3,33300,0,0,32,33332,0.32
P017,3,893,4,41800,0,0,28,41828,0.28
P017,4,893,5,48300,0,199,0,48300,0.0
P017,5,605,1,59300,0,191,16,59316,0.16
P017,6,605,2,67800,66,128,154,67954,1.54
P017,7,605,3,77200,0,109,97,77297,0.97
P017,8,605,4,86200,157,0,220,86420,2.2
P017,9,605,5,94600,173,1,242,94842,2.42
P017,10,762,1,104000,57,115,88,104088,0.88
P017,11,762,2,116100,23,193,119,116219,1.19
P017,12,762,3,125800,133,0,133,125933,1.33
P017,13,762,4,135700,28,96,28,135728,0.28
P017,14,762,5,141700,0,0,0,141700,0.0
P017,15,258,1,160200,34,109,129,160329,1.29
P017,16,258,2,171900,101,197,197,172097,1.97
P017,17,258,3,182200,0,157,99,182299,0.99
P017,18,258,4,189700,146,106,244,189944,2.44
P017,19,258,5,198400,0,33,53,198453,0.53
P017,20,189,1,210100,83,0,182,210282,1.82
P017,21,189,2,222600,0,196,36,222636,0.36
P017,22,189,3,230700,37,54,38,230738,0.38
P017,23,189,4,238100,0,150,0,238100,0.0
P017,24,189,5,247000,0,115,81,247081,0.81
P017,25,453,1,258300,23,0,122,258422,1.22
P017,26,453,2,268200,37,0,110,268310,1.1
P017,27,453,3,275500,31,0,31,275531,0.31
P017,28,453,4,283700,0,44,69,283769,0.69
P017,29,453,5,292900,44,148,64,292964,0.64
P018,0,605,1,16100,0,58,62,16162,0.62
P018,1,605,2,26600,116,0,211,26811,2.11
P018,2,605,3,35400,0,0,0,35400,0.0
P018,3,605,4,44000,113,88,202,44202,2.02
P018,4,605,5,52900,0,0,0,52900,0.0
P018,5,258,1,63800,0,0,65,63865,0.65
P018,6,258,2,74600,93,199,184,74784,1.84
P018,7,258,3,82800,35,4,35,82835,0.35
P018,8,258,4,95600,0,151,54,95654,0.54
P018,9,258,5,102700,0,186,0,102700,0.0
P018,10,893,1,115700,67,111,67,115767,0.67
P018,11,893,2,122700,0,0,0,122700,0.0
P018,12,893,3,130700,128,101,178,130878,1.78
P018,13,893,4,132000,0,0,0,132000,0.0
P018,14,893,5,138000,0,174,94,138094,0.94
P018,15,453,1,151500,80,0,119,151619,1.19
P018,16,453,2,162000,43,158,43,162043,0.43
P018,17,453,3,169300,0,131,0,169300,0.0
P018,18,453,4,179700,28,192,117,179817,1.17
P018,19,453,5,186900,2,26,2,186902,0.02
P018,20,762,1,202000,24,35,62,202062,0.62
P018,21,762,2,216700,0,165,0,216700,0.0
P018,22,762,3,225500,0,0,0,225500,0.0
P018,23,762,4,234200,31,65,31,234231,0.31
P018,24,762,5,242500,43,0,43,242543,0.43
P018,25,189,1,254500,0,200,92,254592,0.92
P018,26,189,2,268600,116,0,197,268797,1.97
P018,27,189,3,278900,0,93,3,278903,0.03
P018,28,189,4,287900,115,1,204,288104,2.04
P018,29,189,5,295400,0,82,0,295400,0.0
P019,0,258,1,6500,28,76,76,6576,0.76
P019,1,258,2,18700,179,76,179,18879,1.79
P019,2,258,3,25700,24,0,119,25819,1.19
P019,3,258,4,32700,114,0,117,32817,1.17
P019,4,258,5,39800,0,155,0,39800,0.0
P019,5,453,1,49800,89,0,89,49889,0.89
P019,6,453,2,59500,72,152,171,59671,1.71
P019,7,453,3,66200,193,98,205,66405,2.05
P019,8,453,4,72900,0,102,53,72953,0.53
P019,9,453,5,81400,0,88,0,81400,0.0
P019,10,605,1,95200,0,133,0,95200,0.0
P019,11,605,2,105900,0,0,30,105930,0.3
P019,12,605,3,116000,93,196,93,116093,0.93
P019,13,605,4,122500,47,0,50,122550,0.5
P019,14,605,5,128600,49,197,50,128650,0.5
P019,15,189,1,139000,36,180,136,139136,1.36
P019,16,189,2,149800,0,0,29,149829,0.29
P019,17,189,3,157400,0,174,0,157400,0.0
P019,18,189,4,166600,192,0,192,166792,1.92
P019,19,189,5,177200,0,85,97,177297,0.97
P019,20,893,1,188200,58,168,127,188327,1.27
P019,21,893,2,198900,158,0,245,199145,2.45
P019,22,893,3,208800,53,197,53,208853,0.53
P019,23,893,4,215100,0,0,0,215100,0.0
P019,24,893,5,221800,60,106,114,221914,1.14
P019,25,762,1,232500,0,0,0,232500,0.0
P019,26,762,2,241700,160,199,259,241959,2.59
P019,27,762,3,248200,0,0,0,248200,0.0
P019,28,762,4,256000,46,48,46,256046,0.46
P019,29,762,5,264700,25,169,124,264824,1.24
P020,0,453,1,6700,53,0,56,6756,0.56
P020,1,453,2,18100,0,0,0,18100,0.0
P020,2,453,3,28500,0,0,16,28516,0.16
P020,3,453,4,36100,0,124,0,36100,0.0
P020,4,453,5,44100,0,199,0,44100,0.0
P020,5,189,1,70100,58,0,70,70170,0.7
P020,6,189,2,79900,0,119,60,79960,0.6
P020,7,189,3,89400,0,71,18,89418,0.18
P020,8,189,4,96900,34,81,34,96934,0.34
P020,9,189,5,103900,159,0,162,104062,1.62
P020,10,258,1,113300,0,75,0,113300,0.0
