iso_contam,sampling,model,K,n_samples,majority,accuracy,balanced_acc,f1_macro,recall_vua_phai,recall_others,oracle_acc,oracle_bacc,oracle_thr
0.1,none,SVM_RBF,5,840,0.7381,0.5107,0.4559,0.45,0.3409,0.571,0.7393,0.5169,0.37
0.1,none,SVM_RBF,10,840,0.7381,0.5095,0.4405,0.4389,0.2955,0.5855,0.7381,0.5,0.61
0.1,none,SVM_RBF,15,840,0.7381,0.5548,0.4784,0.4758,0.3182,0.6387,0.7393,0.504,0.46
0.1,none,SVM_RBF,20,840,0.7381,0.5631,0.4973,0.4916,0.3591,0.6355,0.7381,0.5024,0.54
0.1,none,SVM_RBF,25,840,0.7381,0.5548,0.4784,0.4758,0.3182,0.6387,0.7381,0.5051,0.61
0.1,none,SVM_RBF,30,840,0.7381,0.5405,0.4541,0.4542,0.2727,0.6355,0.7381,0.5049,0.63
0.1,none,SVM_RBF,40,840,0.7381,0.5429,0.4381,0.44,0.2182,0.6581,0.7381,0.5008,0.61
0.1,none,SVM_RBF,50,840,0.7381,0.5655,0.4578,0.4588,0.2318,0.6839,0.7381,0.5008,0.53
0.1,none,LogReg_C1,5,840,0.7381,0.4679,0.4518,0.4327,0.4182,0.4855,0.7417,0.5075,0.68
0.1,none,LogReg_C1,10,840,0.7381,0.4988,0.4772,0.4586,0.4318,0.5226,0.7381,0.5084,0.8
0.1,none,LogReg_C1,15,840,0.7381,0.5083,0.491,0.4696,0.4545,0.5274,0.7357,0.5146,0.9
0.1,none,LogReg_C1,20,840,0.7381,0.4869,0.4706,0.4502,0.4364,0.5048,0.7274,0.5111,0.9
0.1,none,LogReg_C1,25,840,0.7381,0.4881,0.4626,0.4466,0.4091,0.5161,0.725,0.505,0.9
0.1,none,LogReg_C1,30,840,0.7381,0.5024,0.465,0.4532,0.3864,0.5435,0.7274,0.5048,0.9
0.1,none,LogReg_C1,40,840,0.7381,0.5131,0.4737,0.4619,0.3909,0.5565,0.7321,0.5012,0.9
0.1,none,LogReg_C1,50,840,0.7381,0.525,0.4847,0.4725,0.4,0.5694,0.7274,0.5109,0.89
0.1,smote,XGB_gpu,5,840,0.7381,0.3714,0.4686,0.3712,0.6727,0.2645,0.731,0.5243,0.9
0.1,smote,XGB_gpu,10,840,0.7381,0.3952,0.4584,0.3908,0.5909,0.3258,0.7381,0.5029,0.9
0.1,smote,XGB_gpu,15,840,0.7381,0.4476,0.507,0.44,0.6318,0.3823,0.7357,0.5246,0.9
0.1,smote,XGB_gpu,20,840,0.7381,0.4619,0.4962,0.447,0.5682,0.4242,0.7381,0.5144,0.89
0.1,smote,XGB_gpu,25,840,0.7381,0.4536,0.4949,0.4412,0.5818,0.4081,0.7357,0.5118,0.89
0.1,smote,XGB_gpu,30,840,0.7381,0.4464,0.4769,0.4313,0.5409,0.4129,0.7345,0.5014,0.9
0.1,smote,XGB_gpu,40,840,0.7381,0.4381,0.4698,0.4239,0.5364,0.4032,0.7357,0.5235,0.9
0.1,smote,XGB_gpu,50,840,0.7381,0.4726,0.5005,0.455,0.5591,0.4419,0.7357,0.5007,0.9
