window,summary_feature_index,node,source_feature,statistic,raw_icc1,raw_icck,raw_effective_repeats,raw_n_conditions,subject_centered_icc1,subject_centered_icck,subject_centered_effective_repeats,subject_centered_n_conditions
4:6,22,inner_brow_R,acceleration,late_minus_early,-0.023950614405768404,-0.13244127131117706,5.0,140,-0.048042279479752426,-0.2973535708117177,5.0,140
4:6,23,inner_brow_R,acceleration,slope_per_second,-0.0583997848755315,-0.38100025642973234,5.0,140,-0.09977619196605271,-0.8302295194739161,5.0,140
4:6,24,inner_brow_R,abs_velocity,mean,0.43942588140315286,0.7967242985366535,5.0,140,0.009201454566635958,0.04437404962686287,5.0,140
4:6,25,inner_brow_R,abs_velocity,std,0.4098942842318429,0.7764392987374197,5.0,140,-0.033077231566390336,-0.19060488558462335,5.0,140
4:6,26,inner_brow_R,abs_velocity,quantile_10,0.3260652285426323,0.7075267096217853,5.0,140,0.055164085055119834,0.2259607525782232,5.0,140
4:6,27,inner_brow_R,abs_velocity,quantile_90,0.4283157431774918,0.7893000927029501,5.0,140,-0.007564736252953419,-0.03900389807176708,5.0,140
4:6,28,inner_brow_R,abs_velocity,late_minus_early,0.05178847754988151,0.21450652279012863,5.0,140,-0.03300108199061555,-0.1900993464238631,5.0,140
4:6,29,inner_brow_R,abs_velocity,slope_per_second,0.05474101495906962,0.2245390851245524,5.0,140,-0.012324464729749707,-0.06481769734806796,5.0,140
4:6,30,inner_brow_R,baseline_robust_z,mean,0.21414457941944506,0.5767184109079181,5.0,140,0.04879046220480411,0.20411654811859833,5.0,140
4:6,31,inner_brow_R,baseline_robust_z,std,0.022367545992429794,0.10265331865682098,5.0,140,-0.04641574154777602,-0.284990978063934,5.0,140
4:6,32,inner_brow_R,baseline_robust_z,quantile_10,0.1942175806527531,0.5465159110974434,5.0,140,0.0367845811958452,0.16033193382668737,5.0,140
4:6,33,inner_brow_R,baseline_robust_z,quantile_90,0.1945300077280111,0.5470103377335881,5.0,140,0.04795601518471468,0.20118747709701737,5.0,140
4:6,34,inner_brow_R,baseline_robust_z,late_minus_early,0.0026271069843755586,0.01299893653404561,5.0,140,-0.037518109480998194,-0.22071357110338677,5.0,140
4:6,35,inner_brow_R,baseline_robust_z,slope_per_second,0.008340617968928203,0.040356690880155005,5.0,140,-0.03369056540083927,-0.19468964369995392,5.0,140
4:6,36,inner_brow_L,value,mean,0.6427408547343192,0.8999544091179736,5.0,140,0.048260756334079044,0.2022590774564666,5.0,140
4:6,37,inner_brow_L,value,std,0.3238336155458246,0.7054170555122442,5.0,140,-0.05674303056733852,-0.36701800932404455,5.0,140
4:6,38,inner_brow_L,value,quantile_10,0.6149204022989968,0.8886950762528424,5.0,140,0.030958015743806928,0.13773417205168903,5.0,140
4:6,39,inner_brow_L,value,quantile_90,0.6494520590741262,0.9025662520338439,5.0,140,0.0555540871617943,0.22726781237742777,5.0,140
4:6,40,inner_brow_L,value,late_minus_early,-0.006043646087093068,-0.03096684094386544,5.0,140,-0.0498294093541388,-0.31116839637482163,5.0,140
4:6,41,inner_brow_L,value,slope_per_second,-4.020014495879188e-05,-0.00020103305102513026,5.0,140,-0.051585394752048104,-0.3249848636872246,5.0,140
4:6,42,inner_brow_L,delta,mean,0.2906141480721588,0.6719537148363922,5.0,140,0.09447523474264784,0.3428230291113265,5.0,140
4:6,43,inner_brow_L,delta,std,0.3238336180306064,0.7054170578703663,5.0,140,-0.05674303488052701,-0.36701804541331806,5.0,140
4:6,44,inner_brow_L,delta,quantile_10,0.2927655363005464,0.6742449472197901,5.0,140,0.08884095363746566,0.32773840013934236,5.0,140
4:6,45,inner_brow_L,delta,quantile_90,0.28875914445707473,0.6699634415209481,5.0,140,0.09816791277160433,0.3524445718954068,5.0,140
4:6,46,inner_brow_L,delta,late_minus_early,-0.006043648550608739,-0.030966853879301915,5.0,140,-0.049829411815405546,-0.31116841557070796,5.0,140
4:6,47,inner_brow_L,delta,slope_per_second,-4.020443183922553e-05,-0.00020105449232265786,5.0,140,-0.0515853974485724,-0.32498488509182333,5.0,140
4:6,48,inner_brow_L,velocity,mean,0.03954924534083244,0.1707362649757491,5.0,140,-0.01954286121851251,-0.10600051988974435,5.0,140
4:6,49,inner_brow_L,velocity,std,0.4368378924448767,0.7950163663981596,5.0,140,0.007881367447312134,0.03820248592079059,5.0,140
4:6,50,inner_brow_L,velocity,quantile_10,0.3635617687399756,0.7406788266130774,5.0,140,-0.027915050592212252,-0.15711921646790222,5.0,140
4:6,51,inner_brow_L,velocity,quantile_90,0.3497305837821908,0.7289326933617024,5.0,140,-0.007905990488721629,-0.04082087008617883,5.0,140
4:6,52,inner_brow_L,velocity,late_minus_early,-0.00736991859287571,-0.03796890388721658,5.0,140,-0.04827396894967135,-0.2991307610272386,5.0,140
4:6,53,inner_brow_L,velocity,slope_per_second,0.012872046721406245,0.06120870820019205,5.0,140,-0.026495163883766343,-0.14818003686275685,5.0,140
4:6,54,inner_brow_L,acceleration,mean,-0.00718853533576808,-0.03700677470948826,5.0,140,-0.051575080067837155,-0.32490299155386804,5.0,140
4:6,55,inner_brow_L,acceleration,std,0.45227023715332987,0.805014603400072,5.0,140,0.08880959745998068,0.32765304659968586,5.0,140
4:6,56,inner_brow_L,acceleration,quantile_10,0.3982053342365607,0.7678996785516208,5.0,140,0.06594893013467099,0.26091610005832555,5.0,140
4:6,57,inner_brow_L,acceleration,quantile_90,0.3865659851313907,0.7590846710329672,5.0,140,0.058791524191384434,0.2379903575128017,5.0,140
4:6,58,inner_brow_L,acceleration,late_minus_early,-0.008115552991625434,-0.04193920429774706,5.0,140,-0.04880041500400557,-0.3031841181790777,5.0,140
4:6,59,inner_brow_L,acceleration,slope_per_second,-0.01634528129680351,-0.08744356516487878,5.0,140,-0.06928976862026366,-0.4792878085210715,5.0,140
4:6,60,inner_brow_L,abs_velocity,mean,0.4421020675316678,0.798477002655824,5.0,140,0.004425052381072582,0.02174045136111847,5.0,140
4:6,61,inner_brow_L,abs_velocity,std,0.4074569720776966,0.7746837233888676,5.0,140,0.0005352213110329679,0.002670389557564965,5.0,140
4:6,62,inner_brow_L,abs_velocity,quantile_10,0.3387046907906246,0.7191735858596343,5.0,140,0.007874508173873576,0.038170252992611314,5.0,140
4:6,63,inner_brow_L,abs_velocity,quantile_90,0.43180953184849197,0.7916608518910497,5.0,140,0.010686841144328194,0.05124367371889836,5.0,140
4:6,64,inner_brow_L,abs_velocity,late_minus_early,0.028571517348187556,0.1282054857051121,5.0,140,-0.030147810601101246,-0.17140954272236744,5.0,140
4:6,65,inner_brow_L,abs_velocity,slope_per_second,0.03599663567368484,0.15732980384931924,5.0,140,-0.020369101667128235,-0.11087957791726101,5.0,140
