subject_id,n_within_pairs,n_between_pairs,within_condition_distance_median,different_condition_same_subject_distance_median,within_to_between_ratio,distance_separation,pair_auc,window
P001,50,250,1.1681225727054074,1.2260273639645212,0.952770392438982,0.047229607561018024,0.524,2:4
P002,50,250,0.9689230212527533,0.9773125946003052,0.9914156704887417,0.008584329511258341,0.50024,2:4
P003,50,250,1.13063090421812,1.1960667308919515,0.9452908228414366,0.054709177158563375,0.53032,2:4
P004,50,250,1.207456860392393,1.2617975386420626,0.9569339164283435,0.04306608357165655,0.5624,2:4
P005,50,250,1.2591079853021379,1.277012768055554,0.9859791670049791,0.014020832995020854,0.52568,2:4
P006,50,250,1.0091382744216604,1.0479667095965652,0.962948789480295,0.037051210519704975,0.54496,2:4
P007,50,250,1.1737003445204115,1.2051330337643034,0.9739176602389613,0.026082339761038683,0.50464,2:4
P008,50,250,1.9923022621608735,2.2133391065313592,0.9001342163438822,0.09986578365611778,0.56448,2:4
P009,50,250,1.173488994489298,1.1639031151922248,1.0082359770086964,-0.008235977008696441,0.48184000000000005,2:4
P010,50,250,0.9191087244837168,0.9237943237031603,0.9949278761524962,0.0050721238475038045,0.52672,2:4
P011,50,250,1.226667055951347,1.2775256632885514,0.960189756809827,0.03981024319017306,0.53424,2:4
P013,50,250,1.0437343220886452,1.1082865973131653,0.941754889591722,0.05824511040827796,0.5987199999999998,2:4
P014,50,250,0.9975005357863775,1.056842315505616,0.943849920798404,0.05615007920159593,0.5506399999999999,2:4
P015,50,250,0.925301430889311,1.1069475394373232,0.8359035978883468,0.16409640211165324,0.54848,2:4
P016,50,250,0.7957729743139954,0.8464341166081792,0.9401475657701599,0.05985243422984008,0.5563199999999999,2:4
P017,50,250,1.1280188996461002,1.158989059577304,0.9732782982934292,0.02672170170657084,0.5381600000000001,2:4
P018,50,250,1.221255542719764,1.439746882117173,0.848243227951212,0.15175677204878799,0.55992,2:4
P019,50,250,1.0440845955088995,1.046023107377028,0.9981467791156263,0.001853220884373665,0.48128,2:4
P020,50,250,1.5007536673367268,1.6317464660795216,0.9197223334225925,0.0802776665774075,0.56576,2:4
P021,50,250,1.1603833553320122,1.1422057398276777,1.0159144844667625,-0.015914484466762458,0.48672,2:4
P023,50,250,0.9877022333898801,1.0597740238679598,0.9319932468102659,0.06800675318973415,0.57856,2:4
P024,50,250,1.0110205138370854,1.0163584406866422,0.9947479878792067,0.005252012120793284,0.49256,2:4
P025,50,250,1.1040986563638318,1.1335891598273826,0.9739848399149816,0.026015160085018398,0.5220800000000001,2:4
P026,50,250,1.4493915801796526,1.6148260475678446,0.8975527626413015,0.10244723735869854,0.5775199999999999,2:4
P027,50,250,1.1254224282887861,1.1718530807038476,0.9603784355056062,0.039621564494393746,0.5722400000000001,2:4
P028,50,250,1.055003822671285,1.0558417223424204,0.9992064154565928,0.0007935845434071655,0.52584,2:4
P029,50,250,1.435278070833166,1.4621500068827777,0.9816216284764782,0.018378371523521828,0.54224,2:4
P030,50,250,2.250926484869466,2.302889572730135,0.9774357014439624,0.02256429855603764,0.55944,2:4
P001,50,250,1.2246082746820854,1.3139813795743513,0.9319829745827773,0.06801702541722263,0.57472,4:6
P002,50,250,0.9600990577808124,1.0107489945644232,0.9498887092087208,0.050111290791279156,0.5196000000000001,4:6
P003,50,250,1.050747502292055,1.093139480325337,0.9612199734834703,0.03878002651652963,0.55248,4:6
P004,50,250,1.4194742593422547,1.416311161303693,1.0022333355303437,-0.002233335530343598,0.5244,4:6
P005,50,250,1.202796538126389,1.2189809473326774,0.9867230006820842,0.01327699931791586,0.5362399999999999,4:6
P006,50,250,1.2022216224416504,1.173265762519617,1.0246797109802728,-0.024679710980272707,0.48088,4:6
P007,50,250,1.1862843469252669,1.2187212549248891,0.9733844733826182,0.02661552661738176,0.53256,4:6
P008,50,250,2.1579909155433006,2.266027025430136,0.9523235563060736,0.04767644369392641,0.49368,4:6
P009,50,250,1.0551229350695248,1.0520009330939375,1.0029676798540526,-0.002967679854052508,0.5016,4:6
