filter,n_samples,n_subjects,majority_baseline,strategy,K,model,accuracy,balanced_acc,f1
strict,90,27,0.7888888888888889,standard,20,LogReg_C0.1,0.5333333333333333,0.4922164566345441,0.465799886941775
strict,90,27,0.7888888888888889,standard,20,LogReg_C1,0.6,0.5151964418087472,0.5015384615384615
strict,90,27,0.7888888888888889,standard,20,LogReg_C10,0.6222222222222222,0.5292809488510007,0.5170454545454546
strict,90,27,0.7888888888888889,standard,20,SVM_RBF,0.6222222222222222,0.4521868050407709,0.45357142857142857
strict,90,27,0.7888888888888889,standard,20,RForest,0.7888888888888889,0.5,0.4409937888198758
strict,90,27,0.7888888888888889,standard,20,GradBoost,0.6777777777777778,0.4488510007412898,0.43494262827451824
strict,90,27,0.7888888888888889,standard,30,LogReg_C0.1,0.5333333333333333,0.43439584877687176,0.43209134615384615
strict,90,27,0.7888888888888889,standard,30,LogReg_C1,0.5888888888888889,0.488880652335063,0.48122760554603516
strict,90,27,0.7888888888888889,standard,30,LogReg_C10,0.5888888888888889,0.488880652335063,0.48122760554603516
strict,90,27,0.7888888888888889,standard,30,SVM_RBF,0.5888888888888889,0.3732394366197183,0.3706293706293706
strict,90,27,0.7888888888888889,standard,30,RForest,0.7888888888888889,0.5,0.4409937888198758
strict,90,27,0.7888888888888889,standard,30,GradBoost,0.7,0.4629355077835433,0.4450787851107559
strict,90,27,0.7888888888888889,std+wins,3,LogReg_C0.1,0.5444444444444444,0.5570793180133432,0.4993894993894994
strict,90,27,0.7888888888888889,std+wins,3,LogReg_C1,0.5333333333333333,0.530763528539659,0.4833242208857299
strict,90,27,0.7888888888888889,std+wins,3,LogReg_C10,0.5333333333333333,0.530763528539659,0.4833242208857299
strict,90,27,0.7888888888888889,std+wins,3,SVM_RBF,0.5444444444444444,0.4414381022979985,0.43912448700410395
strict,90,27,0.7888888888888889,std+wins,3,RForest,0.7,0.44366197183098594,0.4117647058823529
strict,90,27,0.7888888888888889,std+wins,3,GradBoost,0.7,0.4822090437361008,0.4739121021866205
strict,90,27,0.7888888888888889,std+wins,5,LogReg_C0.1,0.5333333333333333,0.530763528539659,0.4833242208857299
strict,90,27,0.7888888888888889,std+wins,5,LogReg_C1,0.5888888888888889,0.5852483320978503,0.5335481159826306
strict,90,27,0.7888888888888889,std+wins,5,LogReg_C10,0.5888888888888889,0.5852483320978503,0.5335481159826306
strict,90,27,0.7888888888888889,std+wins,5,SVM_RBF,0.6444444444444445,0.6011860637509265,0.5673076923076923
strict,90,27,0.7888888888888889,std+wins,5,RForest,0.7777777777777778,0.5122312824314307,0.48216340621403914
strict,90,27,0.7888888888888889,std+wins,5,GradBoost,0.7333333333333333,0.5033358042994811,0.49248120300751874
