feature,mi_score,f_score,f_pval
BP_gamma_F3,0.0,2.786819895241631,0.09656901134734575
BP_delta_F3,0.0,0.9340535170990911,0.3349506000019903
BP_theta_F3,0.0,0.1165075545814035,0.733203239705369
BP_gamma_Fp2,0.0,3.346136144858913,0.06881566550408556
BP_delta_Fp1,0.0,5.56881099625815,0.019222494729542513
BP_delta_Fp2,0.0,4.555640841841975,0.03399802645570975
BP_gamma_Fp1,0.0,3.044118445336043,0.08252869840852031
BP_beta_Fp1,0.0,0.3537520165454063,0.5526527506872274
BP_beta_C3,0.0,1.608672643011513,0.20611694213893444
BP_theta_F4,0.0,5.0935682552676615,0.025069387520655496
BP_theta_C3,0.0,7.350174604847002,0.007274397058743344
BP_gamma_P3,0.0,1.1941616369644212,0.2757742166396709
BP_alpha_P3,0.0,0.9670701624775808,0.3265711488555032
BP_alpha_F4,0.0,0.8375926912885514,0.36116143136270673
BP_delta_P3,0.0,2.893444253759967,0.09045688764103708
BP_gamma_O1,0.0,2.187562892246614,0.1406642589763364
BP_theta_O1,0.0,0.17538594503536684,0.675807286818116
BP_alpha_P4,0.0,0.6221473330005287,0.4311616624326683
BP_theta_P4,0.0,1.2258756445349377,0.26950808937510573
BP_delta_F7,0.0,1.0243457145555328,0.3126834762132318
BP_alpha_F8,0.0,1.0503895232324312,0.30662523430230054
BP_beta_O2,0.0,0.7910055392632191,0.37483871149413106
BP_gamma_O2,0.0,1.8973771264297938,0.1698742062733276
BP_alpha_T7,0.0,5.426795717843371,0.02080337451047085
BP_delta_P7,0.0,7.2312198626885875,0.007754370977265074
BP_theta_P7,0.0,7.579631693272254,0.0064331245337890895
BP_beta_T8,0.0,0.7297339089311063,0.39396659470354367
BP_theta_T8,0.0,0.3007764962815954,0.5839927880135849
BP_gamma_T7,0.0,4.444121286664117,0.0362364232335502
BP_gamma_T8,0.0,3.9457367513075567,0.04832237047504504
BP_gamma_P8,0.0,2.3266816859560904,0.12871399079860302
