substance,band,channel,n,F,p_anova,slope,t_slope,p_slope,p_anova_fdr,p_slope_fdr
Sucrose,beta,F4,23,,,0.00030298843549049313,0.22635258686115317,0.8230170478636738,1.0,0.9153218812518432
Sucrose,beta,C3,23,,,-0.0011191264334914593,-1.0282249015510596,0.31501698379284837,1.0,0.9153218812518432
Sucrose,beta,C4,23,,,-0.0005728814232019643,-0.46324612580733904,0.6477380414438008,1.0,0.9153218812518432
Sucrose,beta,P3,23,,,3.338500638866981e-05,0.03416662662937971,0.9730523830396974,1.0,0.9730523830396974
Sucrose,beta,P4,23,,,-0.0014023539477377779,-0.9455272762106854,0.35465967980720264,1.0,0.9153218812518432
Sucrose,beta,O1,23,,,-0.0002991480621629431,-0.49368996918517616,0.6264178932065617,1.0,0.9153218812518432
Sucrose,beta,O2,23,,,0.0002813859007922529,0.18088450008875173,0.858114263673603,1.0,0.9153218812518432
Sucrose,beta,F7,23,,,-0.00023752238506525122,-0.20032992301304484,0.843062889899224,1.0,0.9153218812518432
Sucrose,beta,F8,23,,,-0.0017380656255817192,-1.3045187212018499,0.20553948468281516,1.0,0.9153218812518432
Sucrose,beta,T7,23,,,0.0003415710290592423,0.3250319299683956,0.7482276425485435,1.0,0.9153218812518432
Sucrose,beta,T8,23,,,-0.0004896822759519298,-0.3242250127932481,0.7488301587361434,1.0,0.9153218812518432
Sucrose,beta,P7,23,,,0.0004187387355687557,0.3597928580039734,0.7224328554793643,1.0,0.9153218812518432
Sucrose,beta,P8,23,,,-0.0006524892829023888,-0.555999713273485,0.5838221726400096,1.0,0.9153218812518432
Sucrose,gamma,Fp1,23,,,-0.0005943208302802549,-0.3820679837368662,0.7060767109544155,1.0,0.8980468798265756
Sucrose,gamma,Fp2,23,,,0.0012011552382892312,0.8797355146880376,0.3885113797580509,1.0,0.8980468798265756
Sucrose,gamma,F3,23,,,0.0006877793379951085,0.6221275336206459,0.5402527731478401,1.0,0.8980468798265756
Sucrose,gamma,F4,23,,,-0.0004548204714722346,-0.40467602125234314,0.6896233186517737,1.0,0.8980468798265756
Sucrose,gamma,C3,23,,,-0.00015329652613884793,-0.1296174584488616,0.8980468798265756,1.0,0.8980468798265756
Sucrose,gamma,C4,23,,,-0.00019795818666904676,-0.15991184381131723,0.8744096538614621,1.0,0.8980468798265756
Sucrose,gamma,P3,23,,,-0.00037709495286634856,-0.3569560059165224,0.7245258667009512,1.0,0.8980468798265756
Sucrose,gamma,P4,23,,,-0.0004490070328118166,-0.2914228601822062,0.7734579721182634,1.0,0.8980468798265756
Sucrose,gamma,O1,23,,,-0.0007817527879810219,-0.9729603330102898,0.34115011921212207,1.0,0.8980468798265756
Sucrose,gamma,O2,23,,,0.000992585333052147,0.857636292202551,0.4003402614906017,1.0,0.8980468798265756
Sucrose,gamma,F7,23,,,0.00013601225011346395,0.14035247332190764,0.8896586108571495,1.0,0.8980468798265756
Sucrose,gamma,F8,23,,,0.0010565849323017982,0.7505148563410085,0.4608970127062409,1.0,0.8980468798265756
Sucrose,gamma,T7,23,,,-0.0004804909448569183,-0.5522287675307221,0.5863586709173623,1.0,0.8980468798265756
Sucrose,gamma,T8,23,,,-0.00019141758954323212,-0.14634549537876215,0.8849813777610894,1.0,0.8980468798265756
Sucrose,gamma,P7,23,,,0.0008775057536849277,0.6799954063839421,0.503600730849215,1.0,0.8980468798265756
Sucrose,gamma,P8,23,,,0.0008992264244969394,0.6871684776842417,0.4991570747798252,1.0,0.8980468798265756
